Video,Views,Comments,Likes,Date,Minutes
How to make crepes,85,2,11,5/23/2021,7
Ethnicity tag,2807,126,78,5/23/2021,22
Try on dresses with me,334,28,21,5/23/2021,7
Lose belly fat,167,3,15,5/27/2021,11
Challenging Lupita,346,2,17,5/28/2021,9
Beautiful sunrise in Pakwach,43,6,9,6/10/2021,2
I almost got bitten by cobra,102,1,8,6/16/2021,13
The zoo,38,4,10,6/17/2021,11
African zoo,208,3,13,6/17/2021,12
Fifteen dollar challenge,55,3,11,6/19/2021,10
Fifteen dollar challenge part two,44,2,12,6/20/2021,7
Dating in Uganda,760,13,22,6/20/2021,11
I would rather,59,4,9,6/20/2021,5
Profitable businesses in Uganda,274,2,9,6/21/2021,14
Ten mistakes to avoid when starting,40,2,7,6/22/2021,15
Businesses to start with,130,7,11,6/22/2021,12
Find out who is sponsoring,1782,22,70,6/23/2021,7
Sell a tourist,495,13,18,6/24/2021,9
Wode maya finally,583,9,19,6/24/2021,7
How to buy land,81,4,10,6/25/2021,13
Best and beautiful,58,4,9,6/26/2021,9
Challenges faced by Ugandan,132,22,16,6/27/2021,10
Where is dee mwango,828,21,27,6/28/2021,6
Things I wish I knew,109,9,15,6/28/2021,15
Let's do our nails,321,15,18,6/28/2021,6
My simple facial,187,7,17,6/30/2021,8
Meet my Rolex boyfriend,299,7,27,7/3/2021,13
Ugandan all food must try,281,7,19,7/5/2021,12
African girl eats arabic food,126,7,15,7/8/2021,8
How to cook silverfish,243,8,15,7/11/2021,10
Game drive,171,6,20,8/3/2021,7
Village morning routine,167771,113,717,8/5/2021,14
Inside my house tour,6622,50,167,8/6/2021,10
Village morning routine part two,6643,43,121,8/6/2021,16
How to make our local food,2224,18,56,8/13/2021,9
A visit to the forge,1212,12,30,8/30/2021,6
Kids show off their latrine,5545,18,48,8/30/2021,1
Collecting firewood groundnuts,3641,32,61,9/1/2021,4
How to make ropes,802,18,27,9/5/2021,7
Having lunch in my village,801,13,38,9/5/2021,4
Smoking fish preservation,757,15,37,9/5/2021,6
Farm and farm house tour,1337,33,64,9/5/2021,9
Morning kitchen tour,6953,57,174,9/6/2021,12
Cook lunch african kitchen,1191,30,52,9/7/2021,14
Planting sweet potatoes,3480,39,88,9/7/2021,13
Weeding crops,2233,26,57,9/8/2021,10
Food cooked in leaves,1780,20,62,9/8/2021,11
Food cooked in leaves part two,3430,40,72,9/8/2021,11
Night dancer chased,662,18,20,9/9/2021,3
Ironing using an old iron box,1851,32,64,9/10/2021,10
Washing clothes,3484,37,81,9/11/2021,7
Mushroom harvesting,1495,32,56,9/11/2021,7
Morning routine,1468,45,61,9/12/2021,17
Making passion fruit juice,777,38,45,9/13/2021,8
Making peanut butter,1097,9,42,9/13/2021,12
How we dig,1612,17,44,9/17/2021,4
Garden day,1836,39,66,9/19/2021,6
Look at what I did smearing,5903,54,188,9/20/2021,13
Virgins festival,1180,21,37,9/22/2021,8
Village street food,2121,31,86,9/25/2021,10
Normal evening village,1660,48,57,9/29/2021,5
Real village market,1670,28,53,10/2/2021,7
Update from your girls,514,51,35,10/5/2021,2
Best birthday ever,1072,45,53,10/9/2021,12
Garden tour part two,5926,70,170,10/11/2021,13
Elephants attacked us,282,17,22,10/12/2021,4
Harvesting time in my village,1351,34,52,10/18/2021,12
Village kitchen tour part two,2306,47,76,10/22/2021,10
Day in my life hawker,928,44,40,10/25/2021,8
Village way of berbering,2264,61,61,10/26/2021,11
Cooking snacks,2261,25,94,10/30/2021,10
Village breakfast,1633,45,70,10/31/2021,16
Subscriber blessed kids with clothes,723,24,62,11/1/2021,3
Making local alcohol,1115,33,46,11/3/2021,13
Authentic appetizing meal,982,38,54,11/6/2021,12
Local remedies,768,28,53,11/8/2021,9
Village facial treatment,1223,24,56,11/11/2021,11
Tree climbing,713,26,44,11/14/2021,10
Village home tour part two,1581,42,66,11/17/2021,9
Tailoring,1441,44,82,11/19/2021,5
Village breakfast groundnuts,1025,40,59,11/27/2021,10
Meet my sisters,1939,37,81,11/28/2021,13
Building a hut,1676,24,83,11/28/2021,8
My arranged marriage,1941,87,105,11/30/2021,11
Making soda bicarbonate,1396,28,55,12/1/2021,11
Millet harvesting,2009,35,104,12/2/2021,14
Bathing at the village river,2940,39,84,12/3/2021,10
Sight and sounds,1791,21,39,12/3/2021,8
Threshing millet,1428,21,68,12/4/2021,8
Breakfast with cattle,3975,55,166,12/4/2021,15
Sun drying sorghum and ground nuts,3582,30,103,12/5/2021,12
My twins fearing truck,1999,38,60,12/6/2021,8
Cooking most appetizing fish,2007,37,74,12/6/2021,15
Housewife at eleven years,2896,69,104,12/7/2021,20
Cutting grass,2462,51,81,12/10/2021,12
How my twins sleep,3905,38,152,12/11/2021,13
Cooking with leaves,2204,51,92,12/12/2021,16
Teenagers village house tour,1507,21,80,12/15/2021,9
Uganda at the equator,407,5,28,12/21/2021,7
Village christmas decoration,695,35,69,12/23/2021,15
See the fish in my village,209,9,32,12/24/2021,3
Luo history,754,33,67,12/24/2021,13
Xmas morning,908,32,59,12/25/2021,9
Xmas celebration,445,17,39,12/26/2021,3
Village clinic,1740,48,68,12/27/2021,14
Harvesting sweet potatoes,1004,43,70,12/28/2021,12
Sleeping outside,394,19,41,12/29/2021,10
